Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms),Running duration (ms)
00:00:00.000-04:00,00:15:00.000-04:00,16.358776745394753,,,,,,,,,,,,,900000,,
00:15:00.000-04:00,00:30:00.000-04:00,16.358776745394753,,,,,,,,,,,,,900000,,
00:30:00.000-04:00,00:45:00.000-04:00,16.358776745394753,,,,,,,,,,,,,900000,,
00:45:00.000-04:00,01:00:00.000-04:00,16.358776745394753,,,,,,,,,,,,,900000,,
01:00:00.000-04:00,01:15:00.000-04:00,16.358776745394753,,,,,,,,,,,,,900000,,
01:15:00.000-04:00,01:30:00.000-04:00,16.358776745394753,,38.7513726,-89.9523832,38.7513726,-89.9523832,,,,,,,,900000,,
01:30:00.000-04:00,01:45:00.000-04:00,16.358776745394753,,38.7513138,-89.9524115,38.751314,-89.9523784,0.8500000238418579,0.8500000238418579,0.8500000238418579,,,,,900000,,
01:45:00.000-04:00,02:00:00.000-04:00,16.358776745394753,,,,,,,,,,,,,900000,,
02:00:00.000-04:00,02:15:00.000-04:00,16.358776745394753,,38.7512548,-89.9524613,38.7513259,-89.952424,0.5099999904632568,0.5099999904632568,0.5099999904632568,,,,,900000,,
02:15:00.000-04:00,02:30:00.000-04:00,16.358776745394753,,,,,,,,,,,,,900000,,
02:30:00.000-04:00,02:45:00.000-04:00,16.358776745394753,,,,,,,,,,,,,900000,,
02:45:00.000-04:00,03:00:00.000-04:00,16.358776745394753,,,,,,,,,,,,,900000,,
03:00:00.000-04:00,03:15:00.000-04:00,16.358776745394753,,,,,,,,,,,,,900000,,
03:15:00.000-04:00,03:30:00.000-04:00,16.358776745394753,,,,,,,,,,,,,900000,,
03:30:00.000-04:00,03:45:00.000-04:00,16.358776745394753,,38.7513147,-89.9523611,38.7514525,-89.9523584,,,,,,,,900000,,
03:45:00.000-04:00,04:00:00.000-04:00,16.358776745394753,,38.7513181,-89.9524197,38.7513181,-89.9524197,,,,,,,,900000,,
04:00:00.000-04:00,04:15:00.000-04:00,16.358776745394753,,38.7512894,-89.9524006,38.7513125,-89.9523065,,,,,,,,900000,,
04:15:00.000-04:00,04:30:00.000-04:00,16.358776745394753,,38.7513796,-89.9523902,38.7513796,-89.9523902,,,,,,,,900000,,
