Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms),Running duration (ms)
00:00:00.000-04:00,00:15:00.000-04:00,16.358777115298366,,,,,,,,,18,,,,900000,,
00:15:00.000-04:00,00:30:00.000-04:00,16.358777115298366,,,,,,,,,43,,,,900000,,
00:30:00.000-04:00,00:45:00.000-04:00,16.358777115298366,,,,,,,,,14,,,,900000,,
00:45:00.000-04:00,01:00:00.000-04:00,16.358777115298366,,,,,,,,,,,,,900000,,
01:00:00.000-04:00,01:15:00.000-04:00,16.358777115298366,,,,,,,,,,,,,900000,,
01:15:00.000-04:00,01:30:00.000-04:00,16.358777115298366,,,,,,,,,,,,,900000,,
01:30:00.000-04:00,01:45:00.000-04:00,16.358777115298366,,38.7512228,-89.9526476,38.7512228,-89.9526476,,,,,,,,900000,,
01:45:00.000-04:00,02:00:00.000-04:00,16.358777115298366,,,,,,,,,,,,,900000,,
02:00:00.000-04:00,02:15:00.000-04:00,16.358777115298366,,,,,,,,,,,,,900000,,
02:15:00.000-04:00,02:30:00.000-04:00,16.358777115298366,,38.7513424,-89.9524071,38.7513967,-89.9522182,,,,,,,,900000,,
02:30:00.000-04:00,02:45:00.000-04:00,16.358777115298366,,,,,,,,,,,,,900000,,
02:45:00.000-04:00,03:00:00.000-04:00,16.358777115298366,,38.7512205,-89.9524631,38.7512205,-89.9524631,1.149999976158142,1.149999976158142,1.149999976158142,,,,,900000,,
03:00:00.000-04:00,03:15:00.000-04:00,16.358777115298366,,,,,,1.149999976158142,1.149999976158142,1.149999976158142,,,,,900000,,
03:15:00.000-04:00,03:30:00.000-04:00,16.358777115298366,,,,,,1.149999976158142,1.149999976158142,1.149999976158142,,,,,900000,,
03:30:00.000-04:00,03:45:00.000-04:00,16.358777115298366,,38.7512365,-89.952406,38.7512365,-89.952406,0.8649999797344208,1.149999976158142,0.5799999833106995,,,,,900000,,
03:45:00.000-04:00,04:00:00.000-04:00,16.358777115298366,,,,,,0.5799999833106995,0.5799999833106995,0.5799999833106995,,,,,900000,,
04:00:00.000-04:00,04:15:00.000-04:00,16.358777115298366,,38.7513302,-89.9523628,38.7513302,-89.9523628,0.5799999833106995,0.5799999833106995,0.5799999833106995,,,,,900000,,
04:15:00.000-04:00,04:30:00.000-04:00,16.358777115298366,,,,,,,,,,,,,900000,,
04:30:00.000-04:00,04:45:00.000-04:00,16.358777115298366,,38.7513664,-89.9524667,38.7513664,-89.9524667,,,,,,,,900000,,
04:45:00.000-04:00,05:00:00.000-04:00,16.358777115298366,,,,,,,,,,,,,900000,,
