Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms)
00:00:00.000-04:00,00:15:00.000-04:00,16.358776221877623,,38.751392,-89.9524218,38.751392,-89.9524218,,,,,,,,900000,
00:15:00.000-04:00,00:30:00.000-04:00,16.358776221877623,,38.7514089,-89.9524433,38.7514089,-89.9524433,,,,,,,,900000,
00:30:00.000-04:00,00:45:00.000-04:00,16.358776221877623,,38.7513285,-89.9524259,38.7513285,-89.9524259,,,,,,,,900000,
00:45:00.000-04:00,01:00:00.000-04:00,16.358776221877623,,,,,,,,,,,,,900000,
01:00:00.000-04:00,01:15:00.000-04:00,16.358776221877623,,38.7514018,-89.9524467,38.7514018,-89.9524467,,,,,,,,900000,
01:15:00.000-04:00,01:30:00.000-04:00,16.358776221877623,,38.7513735,-89.9524705,38.7515221,-89.9524209,,,,,,,,900000,
01:30:00.000-04:00,01:45:00.000-04:00,16.358776221877623,,38.7511756,-89.9524248,38.7513133,-89.9522364,,,,,,,,900000,
01:45:00.000-04:00,02:00:00.000-04:00,16.358776221877623,,38.7513288,-89.9524424,38.7514219,-89.9524182,,,,,,,,900000,
02:00:00.000-04:00,02:15:00.000-04:00,16.358776221877623,,,,,,,,,,,,,900000,
02:15:00.000-04:00,02:30:00.000-04:00,16.358776221877623,,38.7513164,-89.9524369,38.7513802,-89.9524242,,,,,,,,900000,
02:30:00.000-04:00,02:45:00.000-04:00,16.358776221877623,,,,,,,,,,,,,900000,
02:45:00.000-04:00,03:00:00.000-04:00,16.358776221877623,,38.751161,-89.9525015,38.7514319,-89.9524418,1.2699999809265137,1.2699999809265137,1.2699999809265137,,,,,900000,
03:00:00.000-04:00,03:15:00.000-04:00,16.358776221877623,,38.7513159,-89.9524714,38.7514954,-89.952413,,,,,,,,900000,
03:15:00.000-04:00,03:30:00.000-04:00,16.358776221877623,,38.7511902,-89.952581,38.7513367,-89.9524108,0.5899999737739563,0.5899999737739563,0.5899999737739563,,,,,900000,
03:30:00.000-04:00,03:45:00.000-04:00,16.358776221877623,,,,,,,,,,,,,900000,
03:45:00.000-04:00,04:00:00.000-04:00,16.358776221877623,,38.7513752,-89.952487,38.7515419,-89.9523875,3.3949999809265137,3.809999942779541,2.9800000190734863,,,,,900000,
04:00:00.000-04:00,04:15:00.000-04:00,16.358776221877623,,38.7513379,-89.9524212,38.7513379,-89.9524212,,,,,,,,900000,
04:15:00.000-04:00,04:30:00.000-04:00,16.358776221877623,,,,,,,,,,,,,900000,
04:30:00.000-04:00,04:45:00.000-04:00,16.358776221877623,,38.7513695,-89.9524642,38.7513695,-89.9524642,,,,,,,,900000,
04:45:00.000-04:00,05:00:00.000-04:00,16.358776221877623,,38.7513225,-89.9524394,38.7514176,-89.9524197,,,,,,,,900000,
05:00:00.000-04:00,05:15:00.000-04:00,16.358776221877623,,38.7513295,-89.9524709,38.7514158,-89.952422,,,,,,,,900000,
05:15:00.000-04:00,05:30:00.000-04:00,16.358776221877623,,38.7513241,-89.9524187,38.7513241,-89.9524187,,,,,,,,900000,
05:30:00.000-04:00,05:45:00.000-04:00,16.358776221877623,,38.7513804,-89.9524436,38.7514372,-89.9524388,,,,,,,,900000,
05:45:00.000-04:00,06:00:00.000-04:00,16.358776221877623,,38.7510024,-89.9525953,38.7514701,-89.9524269,,,,1,,,,900000,
06:00:00.000-04:00,06:15:00.000-04:00,24.924433902203237,46.77983999252319,38.7512434,-89.9524253,38.7514243,-89.9521334,0.7913295775651932,1.1437578201293945,0.4389013350009918,216,,,,554959,152859
06:15:00.000-04:00,06:30:00.000-04:00,16.35877710012366,,38.7512413,-89.9523751,38.7512951,-89.9522433,,,,82,,,,900000,
06:30:00.000-04:00,06:45:00.000-04:00,16.35877710012366,,38.7513088,-89.9524066,38.7513445,-89.9523684,,,,15,,,,900000,
06:45:00.000-04:00,07:00:00.000-04:00,16.35877710012366,,,,,,,,,21,,,,900000,
07:00:00.000-04:00,07:15:00.000-04:00,18.41890611010611,8.498816013336182,38.7511546,-89.9524048,38.7513958,-89.9523559,,,,50,,,,863235,36765
07:15:00.000-04:00,07:30:00.000-04:00,16.358777118898434,,38.7512716,-89.9524218,38.7513117,-89.9523825,,,,168,,,,900000,
07:30:00.000-04:00,07:45:00.000-04:00,21.074178069152396,31.377614498138428,38.75129,-89.9524251,38.7513112,-89.952373,,,,96,,,,815851,84149
07:45:00.000-04:00,08:00:00.000-04:00,61.70690500498071,205.63591194152832,38.7511259,-89.9524466,38.7513331,-89.9519424,0.7522502436353719,1.1354358196258545,0.32687750458717346,367,,,,90737,809263
08:00:00.000-04:00,08:15:00.000-04:00,16.53613336822908,,38.7512825,-89.9524154,38.7512906,-89.9523535,,,,16,,,,896835,3165
08:15:00.000-04:00,08:30:00.000-04:00,16.35877838334217,,38.7513187,-89.9524239,38.7513187,-89.9524239,,,,,,,,900000,
08:30:00.000-04:00,08:45:00.000-04:00,16.35877838334217,,,,,,,,,,,,,900000,
08:45:00.000-04:00,09:00:00.000-04:00,26.405305953471363,72.3427472114563,38.7510668,-89.9619975,38.7670494,-89.9522479,5.866628353524394,21.110000610351562,0.30829888582229614,210,,,,342592,179286
09:00:00.000-04:00,09:15:00.000-04:00,16.358776112505225,,38.7657998,-89.9624782,38.7659114,-89.9624431,,,,67,,,,410974,
09:15:00.000-04:00,09:30:00.000-04:00,16.358777374469966,,,,,,,,,,,,,900000,
09:30:00.000-04:00,09:45:00.000-04:00,16.358777374469966,,,,,,,,,,,,,900000,
09:45:00.000-04:00,10:00:00.000-04:00,16.358777374469966,,,,,,,,,120,,,,900000,
