Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms),Running duration (ms)
00:00:00.000-04:00,00:15:00.000-04:00,16.453276080738622,,,,,,3.059999942779541,3.059999942779541,3.059999942779541,,,,,900000,,
00:15:00.000-04:00,00:30:00.000-04:00,16.453276080738622,,38.751129150390625,-89.95232391357422,38.751129150390625,-89.95232391357422,3.059999942779541,3.059999942779541,3.059999942779541,,,,,900000,,
00:30:00.000-04:00,00:45:00.000-04:00,16.453276080738622,,,,,,,,,,,,,900000,,
00:45:00.000-04:00,01:00:00.000-04:00,16.453276080738622,,,,,,,,,,,,,900000,,
01:00:00.000-04:00,01:15:00.000-04:00,16.453276080738622,,38.75117111206055,-89.95218658447266,38.75117111206055,-89.95218658447266,,,,,,,,900000,,
01:15:00.000-04:00,01:30:00.000-04:00,16.453276080738622,,,,,,,,,60,,,,900000,,
01:30:00.000-04:00,01:45:00.000-04:00,16.45327580306293,,,,,,,,,194,,,,699034,,
01:45:00.000-04:00,02:00:00.000-04:00,16.453274366022562,,,,,,,,,,,,,823697,,
02:00:00.000-04:00,02:15:00.000-04:00,16.453274322374742,,,,,,,,,,,,,900000,,
02:15:00.000-04:00,02:30:00.000-04:00,16.453274322374742,,38.751365661621094,-89.95236206054688,38.751365661621094,-89.95236206054688,,,,,,,,900000,,
02:30:00.000-04:00,02:45:00.000-04:00,16.453274322374742,,,,,,,,,,,,,900000,,
02:45:00.000-04:00,03:00:00.000-04:00,16.453274322374742,,38.751220703125,-89.9524154663086,38.751220703125,-89.9524154663086,1.2300000190734863,1.2300000190734863,1.2300000190734863,16,,,,900000,,
03:00:00.000-04:00,03:15:00.000-04:00,16.453274322374742,,,,,,1.230000019073486,1.2300000190734863,1.2300000190734863,,,,,900000,,
03:15:00.000-04:00,03:30:00.000-04:00,16.453274322374742,,38.75130081176758,-89.9522933959961,38.75130081176758,-89.9522933959961,1.2300000190734863,1.2300000190734863,1.2300000190734863,,,,,900000,,
03:30:00.000-04:00,03:45:00.000-04:00,16.453274322374742,,,,,,,,,,,,,900000,,
03:45:00.000-04:00,04:00:00.000-04:00,16.453274322374742,,38.75147247314453,-89.9526596069336,38.75147247314453,-89.9526596069336,,,,,,,,900000,,
04:00:00.000-04:00,04:15:00.000-04:00,16.453274322374742,,,,,,,,,,,,,900000,,
04:15:00.000-04:00,04:30:00.000-04:00,16.453274322374742,,38.751312255859375,-89.95245361328125,38.751312255859375,-89.95245361328125,,,,,,,,900000,,
04:30:00.000-04:00,04:45:00.000-04:00,16.453274322374742,,,,,,,,,,,,,900000,,
04:45:00.000-04:00,05:00:00.000-04:00,16.453274322374742,,,,,,,,,,,,,900000,,
05:00:00.000-04:00,05:15:00.000-04:00,16.453274322374742,,,,,,,,,,,,,900000,,
05:15:00.000-04:00,05:30:00.000-04:00,16.453274322374742,,38.751285552978516,-89.95244598388672,38.751285552978516,-89.95244598388672,,,,,,,,900000,,
05:30:00.000-04:00,05:45:00.000-04:00,16.453274322374742,,,,,,,,,,,,,900000,,
05:45:00.000-04:00,06:00:00.000-04:00,16.453274322374742,,38.751258850097656,-89.95240020751953,38.751258850097656,-89.95240020751953,,,,,,,,900000,,
06:00:00.000-04:00,06:15:00.000-04:00,16.453274322374742,,,,,,,,,,,,,900000,,
06:15:00.000-04:00,06:30:00.000-04:00,16.453274322374742,,38.75147247314453,-89.95240783691406,38.75147247314453,-89.95240783691406,,,,,,,,900000,,
06:30:00.000-04:00,06:45:00.000-04:00,16.453274322374742,,,,,,,,,,,,,900000,,
06:45:00.000-04:00,07:00:00.000-04:00,16.453274322374742,,,,,,,,,,,,,900000,,
07:00:00.000-04:00,07:15:00.000-04:00,16.453274322374742,,38.751243591308594,-89.95250701904297,38.751285552978516,-89.95213317871094,,,,151,71.66759490966797,71.66759490966797,71.66759490966797,900000,,
07:15:00.000-04:00,07:30:00.000-04:00,16.453274322374742,,,,,,,,,60,,,,900000,,
07:30:00.000-04:00,07:45:00.000-04:00,16.453274322374742,,,,,,,,,,,,,900000,,
07:45:00.000-04:00,08:00:00.000-04:00,16.453274322374742,,,,,,,,,45,,,,900000,,
08:00:00.000-04:00,08:15:00.000-04:00,16.453274322374742,,38.75124740600586,-89.95235443115234,38.75124740600586,-89.95235443115234,,,,11,,,,900000,,
08:15:00.000-04:00,08:30:00.000-04:00,16.453274322374742,,,,,,,,,15,,,,900000,,
08:30:00.000-04:00,08:45:00.000-04:00,16.453274322374742,,,,,,,,,,,,,900000,,
08:45:00.000-04:00,09:00:00.000-04:00,16.453274322374742,,38.75141143798828,-89.95240020751953,38.75141143798828,-89.95240020751953,0.6700000166893005,0.6700000166893005,0.6700000166893005,,,,,900000,,
09:00:00.000-04:00,09:15:00.000-04:00,16.453274322374742,,,,,,0.6700000166893005,0.6700000166893005,0.6700000166893005,,,,,900000,,
09:15:00.000-04:00,09:30:00.000-04:00,16.453274322374742,,,,,,0.6700000166893005,0.6700000166893005,0.6700000166893005,40,,,,900000,,
09:30:00.000-04:00,09:45:00.000-04:00,16.453274322374742,,,,,,0.6700000166893005,0.6700000166893005,0.6700000166893005,,,,,900000,,
09:45:00.000-04:00,10:00:00.000-04:00,16.459571269544405,,38.751220703125,-89.95256805419922,38.751434326171875,-89.95236206054688,0.6700000166893005,0.6700000166893005,0.6700000166893005,172,,,,780055,,
