Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms),Running duration (ms),Weight lifting duration (ms)
13:00:00.000-04:00,13:15:00.000-04:00,16.45327354423888,,,,,,,,,26,,,,900000,,,
13:15:00.000-04:00,13:30:00.000-04:00,23.27982987571919,33.995262145996094,38.77568054199219,-90.39055633544922,38.77573013305664,-90.39049530029297,0.9044801592826843,0.9044801592826843,0.9044801592826843,56,,,,780002,119998,,
13:30:00.000-04:00,13:45:00.000-04:00,18.554984062726753,43.47084087235668,38.77569580078125,-90.39059448242188,38.77589416503906,-90.3904800415039,1.1766653060913086,1.1766653060913086,1.1766653060913086,139,,,,863055,36945,,
13:45:00.000-04:00,14:00:00.000-04:00,28.93919930886929,239.48965793745776,38.75093460083008,-90.39129638671875,38.7745361328125,-90.34882354736328,6.620300353057766,18.700000762939453,0.5400000214576721,337,,,,,219479,,
14:00:00.000-04:00,14:15:00.000-04:00,34.40178326231826,155.29844427108765,38.752323150634766,-90.35014343261719,38.75444030761719,-90.34984588623047,0.6401431101452615,4.329999923706055,0.3306475579738617,213,,,,402989,315501,,
14:15:00.000-04:00,14:30:00.000-04:00,23.585039828986023,82.4317028449452,,,,,0.7032192349433899,1.0807898044586182,0.3256486654281616,187,,,,774637,125363,,
14:30:00.000-04:00,14:45:00.000-04:00,20.782691393671126,88.01311374441026,38.751060485839844,-90.39006805419922,38.78240966796875,-90.34868621826172,10.5428589030789,24.770000457763672,0.699999988079071,124,,,,,76103,,
14:45:00.000-04:00,15:00:00.000-04:00,31.962615608947488,255.77940714359283,38.774681091308594,-90.39059448242188,38.779170989990234,-90.38906860351562,0.9347990153963156,1.2025750875473022,0.8752554059028625,402,,,,351881,272625,,
15:00:00.000-04:00,15:15:00.000-04:00,28.815269447022285,130.9166738986969,38.77521514892578,-90.39081573486328,38.77566909790039,-90.39067840576172,0.7947357184852606,1.2539384365081787,0.268799364566803,285,,,,682699,217301,,
15:15:00.000-04:00,15:30:00.000-04:00,23.071844675935992,21.573917388916016,38.77574920654297,-90.39059448242188,38.7758903503418,-90.39058685302734,0.33121436834335327,0.33121436834335327,0.33121436834335327,124,,,,783658,116342,,
15:30:00.000-04:00,15:45:00.000-04:00,19.947391268034302,16.12208366394043,38.77589416503906,-90.39059448242188,38.77589416503906,-90.39059448242188,0.4851081073284149,0.4851081073284149,0.4851081073284149,83,,,,838580,61420,,
15:45:00.000-04:00,16:00:00.000-04:00,21.6613052810022,34.36471724510193,38.77574157714844,-90.39073181152344,38.77574157714844,-90.39073181152344,0.94277423620224,0.94277423620224,0.94277423620224,70,,,,808453,91547,,
16:00:00.000-04:00,16:15:00.000-04:00,16.45327502126551,,,,,,,,,,,,,900000,,,
16:15:00.000-04:00,16:30:00.000-04:00,21.235415430518227,5.883795738220215,38.77589416503906,-90.39059448242188,38.77589416503906,-90.39059448242188,0.3279859125614166,0.3279859125614166,0.3279859125614166,130,,,,815939,84061,,
16:30:00.000-04:00,16:45:00.000-04:00,21.578511624861395,51.804670333862305,38.77573776245117,-90.39058685302734,38.77574920654297,-90.3905029296875,0.615019291639328,0.9284970760345459,0.3015415072441101,87,,,,809908,90092,,
16:45:00.000-04:00,17:00:00.000-04:00,16.453273484461434,,38.7756462097168,-90.39059448242188,38.7758903503418,-90.39047241210938,,,,96,,,,900000,,,
17:00:00.000-04:00,17:15:00.000-04:00,36.05036793581517,112.17353248596191,38.7758903503418,-90.39066314697266,38.77592468261719,-90.39059448242188,0.5696488723027429,1.394961953163147,0.3260048031806946,193,,,,555520,344480,,
17:15:00.000-04:00,17:30:00.000-04:00,16.453273760633163,,,,,,,,,,,,,900000,,,
17:30:00.000-04:00,17:45:00.000-04:00,16.453273760633163,,,,,,,,,,,,,900000,,,
