Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms),Running duration (ms)
00:00:00.000-04:00,00:15:00.000-04:00,16.358775548074867,,,,,,,,,,,,,900000,,
00:15:00.000-04:00,00:30:00.000-04:00,16.358775548074867,,,,,,,,,,,,,900000,,
00:30:00.000-04:00,00:45:00.000-04:00,16.358775548074867,,,,,,,,,,,,,900000,,
00:45:00.000-04:00,01:00:00.000-04:00,16.358775548074867,,,,,,,,,,,,,900000,,
01:00:00.000-04:00,01:15:00.000-04:00,16.358775548074867,,,,,,,,,,,,,900000,,
01:15:00.000-04:00,01:30:00.000-04:00,16.358775548074867,,38.7513961,-89.9524867,38.7513961,-89.9524867,1.8300000429153442,1.8300000429153442,1.8300000429153442,,,,,900000,,
01:30:00.000-04:00,01:45:00.000-04:00,16.358775548074867,,,,,,1.8300000429153442,1.8300000429153442,1.8300000429153442,,,,,900000,,
01:45:00.000-04:00,02:00:00.000-04:00,16.358775548074867,,38.7511823,-89.9524313,38.7511823,-89.9524313,1.8300000429153442,1.8300000429153442,1.8300000429153442,,,,,900000,,
02:00:00.000-04:00,02:15:00.000-04:00,16.358775548074867,,,,,,,,,,,,,900000,,
02:15:00.000-04:00,02:30:00.000-04:00,16.358775548074867,,38.7509718,-89.9524331,38.7509718,-89.9524331,,,,,,,,900000,,
02:30:00.000-04:00,02:45:00.000-04:00,16.358775548074867,,,,,,,,,,,,,900000,,
02:45:00.000-04:00,03:00:00.000-04:00,16.358775548074867,,,,,,,,,,,,,900000,,
03:00:00.000-04:00,03:15:00.000-04:00,16.358775548074867,,,,,,,,,,,,,900000,,
03:15:00.000-04:00,03:30:00.000-04:00,16.358775548074867,,38.7512043,-89.9525111,38.7512043,-89.9525111,0.800000011920929,0.800000011920929,0.800000011920929,,,,,900000,,
03:30:00.000-04:00,03:45:00.000-04:00,16.358775548074867,,,,,,0.800000011920929,0.800000011920929,0.800000011920929,,,,,900000,,
03:45:00.000-04:00,04:00:00.000-04:00,16.358775548074867,,38.7512618,-89.9524029,38.7512618,-89.9524029,1.1350000202655792,1.4700000286102295,0.800000011920929,,,,,900000,,
04:00:00.000-04:00,04:15:00.000-04:00,16.358775548074867,,,,,,1.4700000286102295,1.4700000286102295,1.4700000286102295,,,,,900000,,
04:15:00.000-04:00,04:30:00.000-04:00,16.358775548074867,,38.7512669,-89.9524332,38.7512669,-89.9524332,1.4700000286102295,1.4700000286102295,1.4700000286102295,,,,,900000,,
04:30:00.000-04:00,04:45:00.000-04:00,16.358775548074867,,,,,,,,,,,,,900000,,
04:45:00.000-04:00,05:00:00.000-04:00,16.358775548074867,,38.7512123,-89.9525067,38.7512123,-89.9525067,,,,,,,,900000,,
05:00:00.000-04:00,05:15:00.000-04:00,16.358775548074867,,,,,,,,,,,,,900000,,
05:15:00.000-04:00,05:30:00.000-04:00,16.358775548074867,,,,,,,,,,,,,900000,,
05:30:00.000-04:00,05:45:00.000-04:00,16.358775548074867,,38.7512627,-89.9524295,38.7512627,-89.9524295,,,,,,,,900000,,
05:45:00.000-04:00,06:00:00.000-04:00,16.358775548074867,,,,,,,,,,,,,900000,,
06:00:00.000-04:00,06:15:00.000-04:00,16.358775548074867,,38.7512577,-89.952459,38.7512577,-89.952459,,,,,,,,900000,,
