Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms)
00:00:00.000-04:00,00:15:00.000-04:00,16.500523606473177,,,,,,,,,,,,,900000,
00:15:00.000-04:00,00:30:00.000-04:00,16.500523606473177,,38.7511100769043,-89.95223999023438,38.7511100769043,-89.95223999023438,,,,93,,,,900000,
00:30:00.000-04:00,00:45:00.000-04:00,16.500523606473177,,,,,,,,,,,,,900000,
00:45:00.000-04:00,01:00:00.000-04:00,16.500523606473177,,,,,,,,,,,,,900000,
01:00:00.000-04:00,01:15:00.000-04:00,16.500523606473177,,,,,,,,,,,,,900000,
01:15:00.000-04:00,01:30:00.000-04:00,16.500523606473177,,38.75126647949219,-89.95259094238281,38.75126647949219,-89.95259094238281,0.5199999809265137,0.5199999809265137,0.5199999809265137,31,,,,900000,
01:30:00.000-04:00,01:45:00.000-04:00,16.500523606473177,,,,,,0.5199999809265137,0.5199999809265137,0.5199999809265137,26,,,,900000,
01:45:00.000-04:00,02:00:00.000-04:00,16.500523606473177,,,,,,0.5199999809265137,0.5199999809265137,0.5199999809265137,,,,,900000,
02:00:00.000-04:00,02:15:00.000-04:00,16.500523606473177,,,,,,0.5199999809265137,0.5199999809265137,0.5199999809265137,,,,,900000,
02:15:00.000-04:00,02:30:00.000-04:00,16.500523606473177,,,,,,0.5199999809265137,0.5199999809265137,0.5199999809265137,,,,,900000,
02:30:00.000-04:00,02:45:00.000-04:00,16.500523606473177,,38.75108337402344,-89.95201873779297,38.75108337402344,-89.95201873779297,0.5199999809265137,0.5199999809265137,0.5199999809265137,,,,,900000,
02:45:00.000-04:00,03:00:00.000-04:00,16.500523606473177,,,,,,,,,,,,,900000,
03:00:00.000-04:00,03:15:00.000-04:00,16.500523606473177,,,,,,,,,,,,,900000,
03:15:00.000-04:00,03:30:00.000-04:00,16.500523606473177,,,,,,,,,,,,,900000,
03:30:00.000-04:00,03:45:00.000-04:00,16.500523606473177,,38.75123977661133,-89.9525375366211,38.75123977661133,-89.9525375366211,,,,,,,,900000,
03:45:00.000-04:00,04:00:00.000-04:00,16.500523606473177,,,,,,,,,,,,,900000,
04:00:00.000-04:00,04:15:00.000-04:00,16.500523606473177,,,,,,,,,,,,,900000,
04:15:00.000-04:00,04:30:00.000-04:00,16.500523606473177,,,,,,,,,,,,,900000,
04:30:00.000-04:00,04:45:00.000-04:00,16.500523606473177,,38.751220703125,-89.95247650146484,38.751220703125,-89.95247650146484,1.309999942779541,1.309999942779541,1.309999942779541,,,,,900000,
04:45:00.000-04:00,05:00:00.000-04:00,16.500523606473177,,,,,,1.309999942779541,1.309999942779541,1.309999942779541,,,,,900000,
05:00:00.000-04:00,05:15:00.000-04:00,16.500523606473177,,,,,,1.309999942779541,1.309999942779541,1.309999942779541,,,,,900000,
05:15:00.000-04:00,05:30:00.000-04:00,16.500523606473177,,,,,,1.309999942779541,1.309999942779541,1.309999942779541,,,,,900000,
05:30:00.000-04:00,05:45:00.000-04:00,16.500523606473177,,38.751277923583984,-89.95252990722656,38.751277923583984,-89.95252990722656,0.6600000262260437,0.6600000262260437,0.6600000262260437,,,,,900000,
05:45:00.000-04:00,06:00:00.000-04:00,16.500523606473177,,,,,,0.6600000262260437,0.6600000262260437,0.6600000262260437,,,,,900000,
06:00:00.000-04:00,06:15:00.000-04:00,16.500523606473177,,38.7513427734375,-89.9524154663086,38.7513427734375,-89.9524154663086,1.4350000321865082,2.2100000381469727,0.6600000262260437,,,,,900000,
06:15:00.000-04:00,06:30:00.000-04:00,16.500523606473177,,,,,,2.2100000381469727,2.2100000381469727,2.2100000381469727,,,,,900000,
06:30:00.000-04:00,06:45:00.000-04:00,16.500523606473177,,38.75132369995117,-89.95243835449219,38.75132369995117,-89.95243835449219,2.2100000381469727,2.2100000381469727,2.2100000381469727,,,,,900000,
06:45:00.000-04:00,07:00:00.000-04:00,16.500523606473177,,,,,,,,,,,,,900000,
07:00:00.000-04:00,07:15:00.000-04:00,16.500523606473177,,,,,,,,,,,,,900000,
07:15:00.000-04:00,07:30:00.000-04:00,16.500523606473177,,,,,,,,,,,,,900000,
07:30:00.000-04:00,07:45:00.000-04:00,16.500523606473177,,38.751502990722656,-89.95258331298828,38.751502990722656,-89.95258331298828,3.4200000762939453,3.4200000762939453,3.4200000762939453,,,,,900000,
07:45:00.000-04:00,08:00:00.000-04:00,16.500523606473177,,38.751155853271484,-89.95243072509766,38.75119400024414,-89.9524154663086,3.4200000762939453,3.4200000762939453,3.4200000762939453,,,,,900000,
08:00:00.000-04:00,08:15:00.000-04:00,16.500523606473177,,,,,,,,,,,,,900000,
08:15:00.000-04:00,08:30:00.000-04:00,16.500523606473177,,38.75114059448242,-89.9524917602539,38.75145721435547,-89.95230102539062,,,,,,,,900000,
08:30:00.000-04:00,08:45:00.000-04:00,16.500523606473177,,,,,,,,,,,,,900000,
08:45:00.000-04:00,09:00:00.000-04:00,16.500523606473177,,38.7512321472168,-89.952392578125,38.75129699707031,-89.9522705078125,1.590000033378601,1.590000033378601,1.590000033378601,,,,,900000,
09:00:00.000-04:00,09:15:00.000-04:00,16.500523606473177,,,,,,,,,,,,,900000,
09:15:00.000-04:00,09:30:00.000-04:00,16.500523606473177,,,,,,,,,,,,,900000,
