Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms),Weight lifting duration (ms)
00:00:00.000-04:00,00:15:00.000-04:00,17.050880153952534,,38.751336,-89.9524704,38.751336,-89.9524704,,,,,,,,887649,12351,
00:15:00.000-04:00,00:30:00.000-04:00,16.35877544504307,,,,,,,,,,,,,900000,,
00:30:00.000-04:00,00:45:00.000-04:00,16.35877544504307,,,,,,,,,,,,,900000,,
00:45:00.000-04:00,01:00:00.000-04:00,16.35877544504307,,38.7512833,-89.9525078,38.7512833,-89.9525078,,,,,,,,900000,,
01:00:00.000-04:00,01:15:00.000-04:00,16.35877544504307,,,,,,,,,,,,,900000,,
01:15:00.000-04:00,01:30:00.000-04:00,16.35877544504307,,,,,,,,,,,,,900000,,
01:30:00.000-04:00,01:45:00.000-04:00,16.35877544504307,,,,,,,,,,,,,900000,,
01:45:00.000-04:00,02:00:00.000-04:00,16.35877544504307,,,,,,,,,,,,,900000,,
02:00:00.000-04:00,02:15:00.000-04:00,16.35877544504307,,38.7513392,-89.9525415,38.7513392,-89.9525415,,,,,,,,900000,,
02:15:00.000-04:00,02:30:00.000-04:00,16.35877544504307,,,,,,,,,,,,,900000,,
02:30:00.000-04:00,02:45:00.000-04:00,16.35877544504307,,38.7514211,-89.95248,38.7514211,-89.95248,,,,,,,,900000,,
02:45:00.000-04:00,03:00:00.000-04:00,16.35877544504307,,,,,,,,,,,,,900000,,
03:00:00.000-04:00,03:15:00.000-04:00,16.35877544504307,,38.7511502,-89.9524521,38.7512727,-89.9524473,,,,,,,,900000,,
03:15:00.000-04:00,03:30:00.000-04:00,16.35877544504307,,,,,,,,,,,,,900000,,
03:30:00.000-04:00,03:45:00.000-04:00,16.35877544504307,,38.751318,-89.9524608,38.751318,-89.9524608,,,,,,,,900000,,
03:45:00.000-04:00,04:00:00.000-04:00,16.35877544504307,,,,,,,,,,,,,900000,,
04:00:00.000-04:00,04:15:00.000-04:00,16.35877544504307,,38.7512614,-89.9523429,38.7512614,-89.9523429,,,,,,,,900000,,
04:15:00.000-04:00,04:30:00.000-04:00,16.35877544504307,,,,,,,,,,,,,900000,,
04:30:00.000-04:00,04:45:00.000-04:00,16.35877544504307,,38.751349,-89.9524352,38.751349,-89.9524352,,,,,,,,900000,,
04:45:00.000-04:00,05:00:00.000-04:00,16.35877544504307,,,,,,,,,,,,,900000,,
05:00:00.000-04:00,05:15:00.000-04:00,16.35877544504307,,,,,,,,,,,,,900000,,
05:15:00.000-04:00,05:30:00.000-04:00,16.35877544504307,,,,,,,,,,,,,900000,,
05:30:00.000-04:00,05:45:00.000-04:00,16.35877544504307,,38.751305,-89.9524657,38.751305,-89.9524657,,,,,,,,900000,,
05:45:00.000-04:00,06:00:00.000-04:00,16.35877544504307,,,,,,,,,,,,,900000,,
06:00:00.000-04:00,06:15:00.000-04:00,16.35877544504307,,38.7511408,-89.9524297,38.7511408,-89.9524297,,,,,,,,900000,,
06:15:00.000-04:00,06:30:00.000-04:00,16.35877544504307,,,,,,,,,,,,,900000,,
06:30:00.000-04:00,06:45:00.000-04:00,16.35877544504307,,38.7511662,-89.9524741,38.7511662,-89.9524741,,,,,,,,900000,,
06:45:00.000-04:00,07:00:00.000-04:00,16.35877544504307,,,,,,,,,,,,,900000,,
07:00:00.000-04:00,07:15:00.000-04:00,41.227922550746264,91.525710105896,,,,,0.4530636221170426,0.6446252465248108,0.2615019977092743,162,,,,456196,443804,
07:15:00.000-04:00,07:30:00.000-04:00,16.35877764398541,,,,,,,,,44,,,,900000,,
07:30:00.000-04:00,07:45:00.000-04:00,16.35877764398541,,,,,,,,,45,,,,900000,,
07:45:00.000-04:00,08:00:00.000-04:00,16.35877764398541,,,,,,,,,,,,,900000,,
08:00:00.000-04:00,08:15:00.000-04:00,16.35877764398541,,38.7512895,-89.9523452,38.7513381,-89.9522943,,,,53,,,,900000,,
08:15:00.000-04:00,08:30:00.000-04:00,16.35877764398541,,38.7514966,-89.9524049,38.751499,-89.9523928,0.6399999856948853,0.6399999856948853,0.6399999856948853,,,,,900000,,
08:30:00.000-04:00,08:45:00.000-04:00,16.35877764398541,,,,,,,,,35,,,,900000,,
08:45:00.000-04:00,09:00:00.000-04:00,18.438565047031858,1.3075101375579834,38.750961,-89.9525177,38.7511227,-89.952425,0.8100000321865082,1.0800000429153442,0.5400000214576721,113,,,,360633,37115,
09:00:00.000-04:00,09:15:00.000-04:00,16.35877585726078,,38.762412,-90.1512805,38.762412,-90.1512805,28.309999465942383,28.309999465942383,28.309999465942383,,,,,,,
09:15:00.000-04:00,09:30:00.000-04:00,32.73703875278049,251.5187282562256,38.7608319,-90.3906902,38.7758899,-90.1545007,0.9709951022503139,1.11978018283844,0.32789093255996704,393,,,,357500,292279,
09:30:00.000-04:00,09:45:00.000-04:00,21.405072756942587,29.418977737426758,38.7757606,-90.3905619,38.7757606,-90.3905619,,,,98,,,,809946,90054,
09:45:00.000-04:00,10:00:00.000-04:00,16.35877776245572,,38.7756269,-90.3905765,38.775892,-90.3904714,,,,100,,,,900000,,
10:00:00.000-04:00,10:15:00.000-04:00,16.35877776245572,,,,,,,,,,,,,900000,,
10:15:00.000-04:00,10:30:00.000-04:00,16.35877776245572,,,,,,,,,,,,,900000,,
10:30:00.000-04:00,10:45:00.000-04:00,16.35877776245572,,,,,,,,,,,,,900000,,
10:45:00.000-04:00,11:00:00.000-04:00,16.35877776245572,,,,,,,,,,,,,900000,,
11:00:00.000-04:00,11:15:00.000-04:00,16.35877776245572,,,,,,,,,,,,,900000,,
11:15:00.000-04:00,11:30:00.000-04:00,16.35877776245572,,,,,,,,,,,,,900000,,
11:30:00.000-04:00,11:45:00.000-04:00,16.35877776245572,,,,,,,,,,,,,900000,,
11:45:00.000-04:00,12:00:00.000-04:00,16.35877776245572,,,,,,,,,,,,,900000,,
12:00:00.000-04:00,12:15:00.000-04:00,16.35877776245572,,,,,,,,,,,,,900000,,
12:15:00.000-04:00,12:30:00.000-04:00,16.35877776245572,,,,,,,,,,,,,900000,,
12:30:00.000-04:00,12:45:00.000-04:00,16.35877776245572,,,,,,,,,,,,,900000,,
12:45:00.000-04:00,13:00:00.000-04:00,16.35877776245572,,,,,,,,,,,,,900000,,
13:00:00.000-04:00,13:15:00.000-04:00,23.282060333046665,50.75444746017456,38.7756875,-90.3905731,38.7757306,-90.390491,,,,190,,,,776450,123550,
13:15:00.000-04:00,13:30:00.000-04:00,20.799374818537757,77.20709991455078,38.7752042,-90.3906793,38.7758924,-90.390576,,,,157,,,,820755,79245,
13:30:00.000-04:00,13:45:00.000-04:00,16.358775901822774,,,,,,,,,,,,,900000,,
13:45:00.000-04:00,14:00:00.000-04:00,16.358775901822774,,,,,,,,,,,,,900000,,
14:00:00.000-04:00,14:15:00.000-04:00,27.73482414507008,144.56845378875732,,,,,1.1146128734503677,1.2241803407669067,0.5164963006973267,275,,,,696988,203012,
14:15:00.000-04:00,14:30:00.000-04:00,20.381568259349812,23.300418190502164,,,,,0.3245680630207062,0.3245680630207062,0.3245680630207062,68,,,,828211,71789,
14:30:00.000-04:00,14:45:00.000-04:00,18.572655104719455,30.30749768779373,38.7756052,-90.390576,38.7758922,-90.3904643,0.7996312081813812,0.8073768615722656,0.7918855547904968,159,,,,860493,39507,
14:45:00.000-04:00,15:00:00.000-04:00,22.866162490366925,76.78583526611328,38.775204,-90.3906793,38.775204,-90.3906793,,,,155,,,,783872,116128,
15:00:00.000-04:00,15:15:00.000-04:00,16.35877615799675,,,,,,,,,,,,,900000,,
15:15:00.000-04:00,15:30:00.000-04:00,16.35877615799675,,,,,,,,,22,,,,900000,,
15:30:00.000-04:00,15:45:00.000-04:00,21.816999804203434,96.7327013015747,38.7758865,-90.390585,38.7758865,-90.390585,1.1331171605402532,1.1394227743148804,1.1132901906967163,139,,,,802594,97406,
15:45:00.000-04:00,16:00:00.000-04:00,22.49307426881884,50.33913993835449,38.7756657,-90.3905361,38.7756657,-90.3905361,0.5177708864212036,0.7153730988502502,0.320168673992157,94,,,,790530,109470,
16:00:00.000-04:00,16:15:00.000-04:00,16.358776654361037,,38.7758921,-90.390577,38.7758921,-90.390577,,,,109,,,,900000,,
