Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms)
00:00:00.000-04:00,00:15:00.000-04:00,16.50052285899377,,,,,,,,,,,,,,900000,
00:15:00.000-04:00,00:30:00.000-04:00,16.50052285899377,,,,,,,,,,,,,,900000,
00:30:00.000-04:00,00:45:00.000-04:00,16.50052285899377,,,,,,,,,,,,,,900000,
00:45:00.000-04:00,01:00:00.000-04:00,16.50052285899377,,38.751243591308594,-89.95249938964844,38.75129699707031,-89.95240020751953,,,,,,,,,900000,
01:00:00.000-04:00,01:15:00.000-04:00,20.381966692627337,28.336252212524414,38.75148391723633,-89.95247650146484,38.75148391723633,-89.95247650146484,0.41842636466026306,0.41842636466026306,0.41842636466026306,61,,,,,832279,67721
01:15:00.000-04:00,01:30:00.000-04:00,16.50052364355113,,38.75123596191406,-89.95240020751953,38.75137710571289,-89.95233917236328,,,,55,,,,,900000,
01:30:00.000-04:00,01:45:00.000-04:00,16.50052364355113,,38.75141525268555,-89.95237731933594,38.75141525268555,-89.95237731933594,,,,,,,,,900000,
01:45:00.000-04:00,02:00:00.000-04:00,16.50052364355113,,38.75124740600586,-89.95249938964844,38.75132751464844,-89.95237731933594,,,,81,,,,,900000,
02:00:00.000-04:00,02:15:00.000-04:00,16.50052364355113,,38.75126266479492,-89.95265197753906,38.75165939331055,-89.95244598388672,,,,,,,,,900000,
02:15:00.000-04:00,02:30:00.000-04:00,16.50052364355113,,,,,,,,,,,,,,900000,
02:30:00.000-04:00,02:45:00.000-04:00,16.50052364355113,,,,,,,,,,,,,,900000,
02:45:00.000-04:00,03:00:00.000-04:00,16.50052364355113,,38.75127029418945,-89.95246124267578,38.751487731933594,-89.95240020751953,,,,,,,,,900000,
03:00:00.000-04:00,03:15:00.000-04:00,16.50052364355113,,38.75123977661133,-89.95245361328125,38.75123977661133,-89.95245361328125,,,,,,,,,900000,
03:15:00.000-04:00,03:30:00.000-04:00,16.50052364355113,,38.751251220703125,-89.95246124267578,38.7513313293457,-89.95240783691406,,,,,,,,,900000,
03:30:00.000-04:00,03:45:00.000-04:00,16.50052364355113,,38.75130844116211,-89.9524154663086,38.75130844116211,-89.9524154663086,,,,,,,,,900000,
03:45:00.000-04:00,04:00:00.000-04:00,16.50052364355113,,38.75123977661133,-89.9524154663086,38.75123977661133,-89.9524154663086,,,,,,,,,900000,
04:00:00.000-04:00,04:15:00.000-04:00,16.50052364355113,,38.75132369995117,-89.952392578125,38.75132369995117,-89.952392578125,,,,,,,,,900000,
04:15:00.000-04:00,04:30:00.000-04:00,16.50052364355113,,38.75126647949219,-89.95245361328125,38.75130081176758,-89.95240783691406,,,,,,,,,900000,
04:30:00.000-04:00,04:45:00.000-04:00,16.50052364355113,,,,,,,,,,,,,,900000,
04:45:00.000-04:00,05:00:00.000-04:00,16.50052364355113,,38.751399993896484,-89.95248413085938,38.751399993896484,-89.95248413085938,,,,,,,,,900000,
05:00:00.000-04:00,05:15:00.000-04:00,16.50052364355113,,38.75127410888672,-89.95242309570312,38.751312255859375,-89.952392578125,,,,,,,,,900000,
05:15:00.000-04:00,05:30:00.000-04:00,16.50052364355113,,,,,,,,,,,,,,900000,
05:30:00.000-04:00,05:45:00.000-04:00,16.50052364355113,,38.75124740600586,-89.95244598388672,38.75124740600586,-89.95244598388672,,,,,,,,,900000,
05:45:00.000-04:00,06:00:00.000-04:00,16.50052364355113,,38.75127410888672,-89.95244598388672,38.75130844116211,-89.952392578125,,,,,,,,,900000,
06:00:00.000-04:00,06:15:00.000-04:00,16.50052364355113,,38.751380920410156,-89.95240020751953,38.751380920410156,-89.95240020751953,,,,,,,,,900000,
06:15:00.000-04:00,06:30:00.000-04:00,16.50052364355113,,38.75125503540039,-89.95247650146484,38.75127410888672,-89.95242309570312,,,,,,,,,900000,
06:30:00.000-04:00,06:45:00.000-04:00,16.50052364355113,,38.751338958740234,-89.95232391357422,38.751338958740234,-89.95232391357422,,,,,,,,,900000,
06:45:00.000-04:00,07:00:00.000-04:00,16.50052364355113,,38.75125503540039,-89.95245361328125,38.75131607055664,-89.95244598388672,,,,,,,,,900000,
07:00:00.000-04:00,07:15:00.000-04:00,16.50052364355113,,38.75128936767578,-89.95238494873047,38.75128936767578,-89.95238494873047,,,,,,,,,900000,
07:15:00.000-04:00,07:30:00.000-04:00,16.50052364355113,,38.75124740600586,-89.95242309570312,38.75124740600586,-89.95242309570312,,,,,,,,,900000,
07:30:00.000-04:00,07:45:00.000-04:00,16.50052364355113,,38.75129699707031,-89.95245361328125,38.75129699707031,-89.95245361328125,,,,,,,,,900000,
07:45:00.000-04:00,08:00:00.000-04:00,16.50052364355113,,38.75125503540039,-89.9525146484375,38.751304626464844,-89.95243072509766,,,,,,,,,900000,
08:00:00.000-04:00,08:15:00.000-04:00,16.50052364355113,,38.75127029418945,-89.95240020751953,38.75127029418945,-89.95240020751953,,,,,,,,,900000,
08:15:00.000-04:00,08:30:00.000-04:00,16.50052364355113,,38.751319885253906,-89.95248413085938,38.75138473510742,-89.952392578125,0.6000000238418579,0.6000000238418579,0.6000000238418579,7,,,,,900000,
08:30:00.000-04:00,08:45:00.000-04:00,16.50052364355113,,38.75126647949219,-89.95240020751953,38.75126647949219,-89.95240020751953,,,,,,,,,900000,
08:45:00.000-04:00,09:00:00.000-04:00,16.50052364355113,,38.75131607055664,-89.95234680175781,38.75131607055664,-89.95234680175781,,,,,,,,,900000,
09:00:00.000-04:00,09:15:00.000-04:00,27.036240722547138,85.64191401004791,38.75128173828125,-89.9524154663086,38.75132751464844,-89.95230865478516,0.7677809298038482,0.7742369771003723,0.7613248825073242,193,,,,,716179,183821
09:15:00.000-04:00,09:30:00.000-04:00,30.7907517269949,83.68064785003662,38.751243591308594,-89.95234680175781,38.75126266479492,-89.95219421386719,0.4051695269423478,0.7900355458259583,0.2615019977092743,149,,,,,650673,249327
09:30:00.000-04:00,09:45:00.000-04:00,16.50052354462875,,38.75123596191406,-89.95245361328125,38.7513313293457,-89.95230865478516,,,,35,,,,,900000,
09:45:00.000-04:00,10:00:00.000-04:00,32.34703303969086,75.03407738607864,38.75126266479492,-89.95245361328125,38.7513427734375,-89.9522933959961,0.34328748707862833,0.626379668712616,0.27239790558815,176,,,,,623520,276480
10:00:00.000-04:00,10:15:00.000-04:00,42.184500456130515,147.66604640084762,38.75125503540039,-89.95247650146484,38.75128936767578,-89.95228576660156,0.4390438655284844,1.0613291263580322,0.31285104155540466,396,,,,,451882,448118
10:15:00.000-04:00,10:30:00.000-04:00,16.500523334540027,,38.75118637084961,-89.95262145996094,38.75129699707031,-89.9523696899414,3.5249999165534973,5.639999866485596,1.409999966621399,,,,,,900000,
10:30:00.000-04:00,10:45:00.000-04:00,18.91573011034916,12.728389263153076,38.751258850097656,-89.95242309570312,38.7515983581543,-89.95234680175781,,,,60,,,,,339471,42139
10:45:00.000-04:00,11:00:00.000-04:00,23.443286466903473,67.33677196502686,38.751121520996094,-89.9527359008789,38.75137710571289,-89.95217895507812,0.5500292627470107,0.693723738193512,0.28438231348991394,145,,,,,732787,121133
11:00:00.000-04:00,11:15:00.000-04:00,23.778065270444028,43.14783334732056,38.75121307373047,-89.95247650146484,38.75149917602539,-89.95238494873047,0.5778732895851135,0.5778732895851135,0.5778732895851135,223,,,,,773026,126974
11:15:00.000-04:00,11:30:00.000-04:00,20.42667300826635,21.064125061035156,38.75116729736328,-89.9524917602539,38.751304626464844,-89.95243072509766,0.6093962977442098,1.409999966621399,0.3075009882450104,135,,,,,831499,68501
11:30:00.000-04:00,11:45:00.000-04:00,16.50052170429065,,38.751216888427734,-89.95249938964844,38.75136947631836,-89.952392578125,,,,125,,,,,900000,
11:45:00.000-04:00,12:00:00.000-04:00,16.50052170429065,,,,,,,,,,,,,,900000,
12:00:00.000-04:00,12:15:00.000-04:00,16.50052170429065,,,,,,,,,109,,,,,900000,
12:15:00.000-04:00,12:30:00.000-04:00,38.41791889593869,216.799542427063,38.7512321472168,-89.9526138305664,38.75157928466797,-89.95195770263672,0.7294238155696275,1.2807540893554688,0.3285393714904785,465,,,,,517599,382401
12:30:00.000-04:00,12:45:00.000-04:00,36.1598723653511,45.109100341796875,38.75125503540039,-89.9525146484375,38.75135040283203,-89.95233917236328,0.47070659697055817,0.6144387125968933,0.326974481344223,89,,,,,556996,343004
12:45:00.000-04:00,13:00:00.000-04:00,37.9549262701016,77.14309644699097,38.751220703125,-89.95240020751953,38.75129318237305,-89.9521713256836,0.31262191807642037,0.46421512961387634,0.254379540681839,155,,,,,525677,374323
13:00:00.000-04:00,13:15:00.000-04:00,16.500522580794463,,38.751243591308594,-89.95252990722656,38.751304626464844,-89.95240020751953,,,,34,,,,,900000,
13:15:00.000-04:00,13:30:00.000-04:00,29.340735681772422,92.83321762084961,38.75126647949219,-89.95248413085938,38.75142288208008,-89.95237731933594,0.5234380679052907,0.7941835522651672,0.2518337368965149,177,,,,,675972,224028
13:30:00.000-04:00,13:45:00.000-04:00,16.50052382386429,,38.75125503540039,-89.95240020751953,38.751258850097656,-89.9523696899414,,,,304,,,,,900000,
13:45:00.000-04:00,14:00:00.000-04:00,16.50052382386429,,38.75126266479492,-89.95252227783203,38.75138854980469,-89.95238494873047,,,,,,,,,900000,
14:00:00.000-04:00,14:15:00.000-04:00,16.50052382386429,,38.75125503540039,-89.95220947265625,38.75125503540039,-89.95220947265625,,,,,,,,,900000,
14:15:00.000-04:00,14:30:00.000-04:00,16.50052382386429,,38.75125503540039,-89.9523696899414,38.75136184692383,-89.95233917236328,1.850000023841858,1.850000023841858,1.850000023841858,,,,,,900000,
14:30:00.000-04:00,14:45:00.000-04:00,16.50052382386429,,38.75123977661133,-89.95246887207031,38.7513427734375,-89.95240020751953,,,,,,,,,900000,
14:45:00.000-04:00,15:00:00.000-04:00,16.50052382386429,,38.75123596191406,-89.95245361328125,38.751258850097656,-89.95233154296875,,,,,,,,,900000,
15:00:00.000-04:00,15:15:00.000-04:00,16.50052382386429,,,,,,,,,,,,,,900000,
15:15:00.000-04:00,15:30:00.000-04:00,16.50052382386429,,38.75124740600586,-89.952392578125,38.75124740600586,-89.952392578125,,,,,,,,,900000,
15:30:00.000-04:00,15:45:00.000-04:00,16.50052382386429,,,,,,,,,,,,,,900000,
15:45:00.000-04:00,16:00:00.000-04:00,17.99226674206064,5.230040550231934,38.751285552978516,-89.95249938964844,38.751399993896484,-89.95243835449219,,,,51,,,,,873973,26027
16:00:00.000-04:00,16:15:00.000-04:00,20.27175030474705,,38.75125503540039,-89.9523696899414,38.75126266479492,-89.9521484375,,,,100,,,,,834202,65798
16:15:00.000-04:00,16:30:00.000-04:00,23.388722994030122,20.920161843299866,38.75124740600586,-89.95255279541016,38.75135040283203,-89.95247650146484,0.3234494626522064,0.3234494626522064,0.3234494626522064,47,,,,,779819,120181
16:30:00.000-04:00,16:45:00.000-04:00,35.96713834045216,107.14114565941468,38.75129318237305,-89.95252990722656,38.751739501953125,-89.95233917236328,0.5894119909195431,0.7731456160545349,0.30275678634643555,48,,,,260904,578483,60613
16:45:00.000-04:00,17:00:00.000-04:00,17.116555800714902,6.683396386178591,38.751251220703125,-89.95240020751953,38.751426696777344,-89.95223999023438,,,,3,,,,10050,889950,
17:00:00.000-04:00,17:15:00.000-04:00,16.50052342661975,,,,,,,,,,,,,,900000,
17:15:00.000-04:00,17:30:00.000-04:00,16.50052342661975,,38.75135803222656,-89.9523696899414,38.751373291015625,-89.95230865478516,,,,,,,,,900000,
