Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms),Weight lifting duration (ms)
00:00:00.000-04:00,00:15:00.000-04:00,16.358776133908048,,,,,,0.5199999809265137,0.5199999809265137,0.5199999809265137,8,,,,900000,,
00:15:00.000-04:00,00:30:00.000-04:00,16.358776133908048,,,,,,0.5199999809265137,0.5199999809265137,0.5199999809265137,,,,,900000,,
00:30:00.000-04:00,00:45:00.000-04:00,16.358776133908048,,,,,,0.5199999809265137,0.5199999809265137,0.5199999809265137,,,,,900000,,
00:45:00.000-04:00,01:00:00.000-04:00,16.358776133908048,,38.7514148,-89.9523947,38.7514148,-89.9523947,0.5199999809265137,0.5199999809265137,0.5199999809265137,,,,,900000,,
01:00:00.000-04:00,01:15:00.000-04:00,16.358776133908048,,,,,,,,,,,,,900000,,
01:15:00.000-04:00,01:30:00.000-04:00,16.358776133908048,,38.7514487,-89.952191,38.7514487,-89.952191,,,,,,,,900000,,
01:30:00.000-04:00,01:45:00.000-04:00,16.358776133908048,,,,,,,,,,,,,900000,,
01:45:00.000-04:00,02:00:00.000-04:00,16.358776133908048,,38.7513477,-89.9525083,38.7513477,-89.9525083,,,,,,,,900000,,
02:00:00.000-04:00,02:15:00.000-04:00,16.358776133908048,,,,,,,,,,,,,900000,,
02:15:00.000-04:00,02:30:00.000-04:00,16.358776133908048,,38.7513129,-89.9523585,38.7513129,-89.9523585,,,,,,,,900000,,
02:30:00.000-04:00,02:45:00.000-04:00,16.358776133908048,,38.7515935,-89.9528023,38.7515935,-89.9528023,3.8199999332427983,3.819999933242798,3.819999933242798,,,,,900000,,
02:45:00.000-04:00,03:00:00.000-04:00,16.358776133908048,,,,,,3.819999933242798,3.819999933242798,3.819999933242798,,,,,900000,,
03:00:00.000-04:00,03:15:00.000-04:00,16.358776133908048,,38.7513058,-89.9523822,38.7513058,-89.9523822,3.819999933242798,3.819999933242798,3.819999933242798,,,,,900000,,
03:15:00.000-04:00,03:30:00.000-04:00,16.358776133908048,,,,,,,,,,,,,900000,,
03:30:00.000-04:00,03:45:00.000-04:00,16.358776133908048,,38.7513169,-89.9524214,38.7513169,-89.9524214,,,,,,,,900000,,
03:45:00.000-04:00,04:00:00.000-04:00,16.358776133908048,,,,,,,,,,,,,900000,,
04:00:00.000-04:00,04:15:00.000-04:00,16.358776133908048,,,,,,,,,,,,,900000,,
04:15:00.000-04:00,04:30:00.000-04:00,16.358776133908048,,38.751264,-89.9523437,38.751264,-89.9523437,,,,,,,,900000,,
04:30:00.000-04:00,04:45:00.000-04:00,16.358776133908048,,,,,,,,,,,,,900000,,
04:45:00.000-04:00,05:00:00.000-04:00,16.358776133908048,,,,,,,,,,,,,900000,,
05:00:00.000-04:00,05:15:00.000-04:00,16.358776133908048,,,,,,,,,,,,,900000,,
05:15:00.000-04:00,05:30:00.000-04:00,16.358776133908048,,38.7512165,-89.9526659,38.7512165,-89.9526659,1.2599999904632568,1.2599999904632568,1.2599999904632568,,,,,900000,,
05:30:00.000-04:00,05:45:00.000-04:00,16.358776133908048,,,,,,1.2599999904632568,1.2599999904632568,1.2599999904632568,,,,,900000,,
05:45:00.000-04:00,06:00:00.000-04:00,16.358776133908048,,,,,,1.2599999904632568,1.2599999904632568,1.2599999904632568,,,,,900000,,
06:00:00.000-04:00,06:15:00.000-04:00,16.358776133908048,,38.7514017,-89.9526278,38.7514017,-89.9526278,1.2300000190734863,1.2599999904632568,1.2000000476837158,,,,,900000,,
06:15:00.000-04:00,06:30:00.000-04:00,16.358776133908048,,,,,,1.2000000476837158,1.2000000476837158,1.2000000476837158,,,,,900000,,
06:30:00.000-04:00,06:45:00.000-04:00,16.358776133908048,,38.7516164,-89.9524558,38.7516164,-89.9524558,1.2000000476837158,1.2000000476837158,1.2000000476837158,,,,,900000,,
06:45:00.000-04:00,07:00:00.000-04:00,16.358776133908048,,,,,,,,,,,,,900000,,
07:00:00.000-04:00,07:15:00.000-04:00,16.358776133908048,,,,,,,,,63,,,,900000,,
07:15:00.000-04:00,07:30:00.000-04:00,16.358776133908048,,38.7513156,-89.9524004,38.7513156,-89.9524004,,,,,,,,900000,,
07:30:00.000-04:00,07:45:00.000-04:00,16.358776133908048,,38.7512959,-89.9524084,38.7513482,-89.9523908,,,,67,,,,900000,,
07:45:00.000-04:00,08:00:00.000-04:00,16.358776133908048,,,,,,,,,25,,,,900000,,
08:00:00.000-04:00,08:15:00.000-04:00,16.358776133908048,,,,,,,,,,,,,900000,,
