Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms),Weight lifting duration (ms)
00:00:00.000-04:00,00:15:00.000-04:00,16.35877743064617,,38.7226575,-89.9889419,38.7226575,-89.9889419,,,,,,,,900000,,
00:15:00.000-04:00,00:30:00.000-04:00,16.35877743064617,,,,,,,,,,,,,900000,,
00:30:00.000-04:00,00:45:00.000-04:00,18.680755040114445,27.14926844669236,38.7225968,-89.9893489,38.7225968,-89.9893489,0.5747748613357544,0.5747748613357544,0.5747748613357544,132,,,,858563,41437,
00:45:00.000-04:00,01:00:00.000-04:00,31.27127796208722,96.4104391949092,,,,,0.5879928732719122,0.8460076451301575,0.4089430570602417,224,,,,633878,266122,
01:00:00.000-04:00,01:15:00.000-04:00,16.35877603039373,,,,,,,,,136,,,,900000,,
01:15:00.000-04:00,01:30:00.000-04:00,16.35877603039373,,,,,,,,,,,,,900000,,
01:30:00.000-04:00,01:45:00.000-04:00,16.35877603039373,,38.7225102,-89.9891127,38.7225102,-89.9891127,,,,10,,,,900000,,
01:45:00.000-04:00,02:00:00.000-04:00,16.35877603039373,,,,,,,,,,,,,900000,,
02:00:00.000-04:00,02:15:00.000-04:00,16.35877603039373,,,,,,,,,36,,,,900000,,
02:15:00.000-04:00,02:30:00.000-04:00,16.35877603039373,,,,,,,,,,,,,900000,,
02:30:00.000-04:00,02:45:00.000-04:00,16.35877603039373,,38.7227334,-89.9891171,38.7227334,-89.9891171,,,,,,,,900000,,
02:45:00.000-04:00,03:00:00.000-04:00,16.35877603039373,,,,,,,,,,,,,900000,,
03:00:00.000-04:00,03:15:00.000-04:00,16.35877603039373,,38.7226927,-89.9889823,38.7226927,-89.9889823,7.190000057220459,7.190000057220459,7.190000057220459,,,,,900000,,
03:15:00.000-04:00,03:30:00.000-04:00,16.35877603039373,,,,,,7.190000057220459,7.190000057220459,7.190000057220459,,,,,900000,,
03:30:00.000-04:00,03:45:00.000-04:00,16.35877603039373,,,,,,7.190000057220459,7.190000057220459,7.190000057220459,,,,,900000,,
03:45:00.000-04:00,04:00:00.000-04:00,16.35877603039373,,,,,,7.190000057220459,7.190000057220459,7.190000057220459,,,,,900000,,
04:00:00.000-04:00,04:15:00.000-04:00,16.35877603039373,,38.7226002,-89.9889488,38.7226002,-89.9889488,7.190000057220459,7.190000057220459,7.190000057220459,,,,,900000,,
04:15:00.000-04:00,04:30:00.000-04:00,16.35877603039373,,,,,,,,,,,,,900000,,
04:30:00.000-04:00,04:45:00.000-04:00,16.35877603039373,,38.7226602,-89.9889784,38.7226602,-89.9889784,,,,,,,,900000,,
04:45:00.000-04:00,05:00:00.000-04:00,16.35877603039373,,,,,,,,,,,,,900000,,
05:00:00.000-04:00,05:15:00.000-04:00,16.35877603039373,,,,,,,,,,,,,900000,,
05:15:00.000-04:00,05:30:00.000-04:00,16.35877603039373,,,,,,,,,,,,,900000,,
05:30:00.000-04:00,05:45:00.000-04:00,16.35877603039373,,38.7225547,-89.9890829,38.7225547,-89.9890829,,,,,,,,900000,,
05:45:00.000-04:00,06:00:00.000-04:00,16.35877603039373,,,,,,,,,,,,,900000,,
06:00:00.000-04:00,06:15:00.000-04:00,16.35877603039373,,38.7227101,-89.9890596,38.7227101,-89.9890596,,,,,,,,900000,,
06:15:00.000-04:00,06:30:00.000-04:00,16.35877603039373,,,,,,,,,,,,,900000,,
06:30:00.000-04:00,06:45:00.000-04:00,16.35877603039373,,,,,,,,,,,,,900000,,
