Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms),Running duration (ms),Weight lifting duration (ms)
00:00:00.000-04:00,00:15:00.000-04:00,16.50052219966984,,38.751461029052734,-89.95271301269531,38.751461029052734,-89.95271301269531,,,,,,,,900000,,,
00:15:00.000-04:00,00:30:00.000-04:00,16.50052219966984,,38.751243591308594,-89.95252990722656,38.75129699707031,-89.95240020751953,,,,,,,,900000,,,
00:30:00.000-04:00,00:45:00.000-04:00,16.50052219966984,,38.75126647949219,-89.95243072509766,38.75126647949219,-89.95243072509766,,,,,,,,900000,,,
00:45:00.000-04:00,01:00:00.000-04:00,16.50052219966984,,38.75139236450195,-89.95234680175781,38.75139236450195,-89.95234680175781,,,,59,,,,900000,,,
01:00:00.000-04:00,01:15:00.000-04:00,18.302945898783946,18.95889663696289,38.75107955932617,-89.95260620117188,38.75135803222656,-89.95246887207031,0.8177427649497986,0.8177427649497986,0.8177427649497986,73,,,,868552,31448,,
01:15:00.000-04:00,01:30:00.000-04:00,16.500521461947372,,38.75128936767578,-89.95242309570312,38.75141143798828,-89.95233154296875,,,,,,,,900000,,,
01:30:00.000-04:00,01:45:00.000-04:00,16.500521461947372,,38.751319885253906,-89.95249938964844,38.75157165527344,-89.95237731933594,,,,,,,,900000,,,
01:45:00.000-04:00,02:00:00.000-04:00,16.500521461947372,,38.75126266479492,-89.95242309570312,38.75135040283203,-89.95240020751953,,,,,,,,900000,,,
02:00:00.000-04:00,02:15:00.000-04:00,16.500521461947372,,,,,,,,,,,,,900000,,,
02:15:00.000-04:00,02:30:00.000-04:00,16.500521461947372,,,,,,,,,,,,,900000,,,
02:30:00.000-04:00,02:45:00.000-04:00,16.500521461947372,,38.751285552978516,-89.95244598388672,38.75139617919922,-89.9524154663086,,,,,,,,900000,,,
02:45:00.000-04:00,03:00:00.000-04:00,16.500521461947372,,,,,,,,,,,,,900000,,,
03:00:00.000-04:00,03:15:00.000-04:00,16.500521461947372,,,,,,,,,,,,,900000,,,
03:15:00.000-04:00,03:30:00.000-04:00,16.500521461947372,,38.75123977661133,-89.952392578125,38.75123977661133,-89.952392578125,,,,,,,,900000,,,
03:30:00.000-04:00,03:45:00.000-04:00,16.500521461947372,,,,,,,,,,,,,900000,,,
03:45:00.000-04:00,04:00:00.000-04:00,16.500521461947372,,,,,,,,,,,,,900000,,,
04:00:00.000-04:00,04:15:00.000-04:00,16.500521461947372,,38.75130844116211,-89.95245361328125,38.75130844116211,-89.95245361328125,,,,,,,,900000,,,
04:15:00.000-04:00,04:30:00.000-04:00,16.500521461947372,,38.75126647949219,-89.95243835449219,38.75126647949219,-89.95243835449219,,,,,,,,900000,,,
04:30:00.000-04:00,04:45:00.000-04:00,16.500521461947372,,,,,,,,,,,,,900000,,,
04:45:00.000-04:00,05:00:00.000-04:00,16.500521461947372,,,,,,,,,,,,,900000,,,
