Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms),Running duration (ms)
00:00:00.000-04:00,00:15:00.000-04:00,16.500524014874824,,,,,,0.7400000095367432,0.7400000095367432,0.7400000095367432,,,,,900000,,
00:15:00.000-04:00,00:30:00.000-04:00,16.500524014874824,,38.75122833251953,-89.95243072509766,38.75126266479492,-89.95240020751953,0.7350000143051147,0.7400000095367432,0.7300000190734863,,,,,900000,,
00:30:00.000-04:00,00:45:00.000-04:00,16.500524014874824,,,,,,,,,,,,,900000,,
00:45:00.000-04:00,01:00:00.000-04:00,16.500524014874824,,38.75130081176758,-89.95238494873047,38.75130081176758,-89.95238494873047,,,,,,,,900000,,
01:00:00.000-04:00,01:15:00.000-04:00,16.500524014874824,,,,,,,,,,,,,900000,,
01:15:00.000-04:00,01:30:00.000-04:00,16.500524014874824,,,,,,,,,,,,,900000,,
01:30:00.000-04:00,01:45:00.000-04:00,16.500524014874824,,,,,,,,,,,,,900000,,
01:45:00.000-04:00,02:00:00.000-04:00,16.500524014874824,,38.751487731933594,-89.95248413085938,38.751487731933594,-89.95248413085938,4.260000228881836,4.260000228881836,4.260000228881836,,,,,900000,,
02:00:00.000-04:00,02:15:00.000-04:00,16.500524014874824,,,,,,4.260000228881836,4.260000228881836,4.260000228881836,,,,,900000,,
02:15:00.000-04:00,02:30:00.000-04:00,16.500524014874824,,38.751251220703125,-89.95245361328125,38.751251220703125,-89.95245361328125,4.260000228881836,4.260000228881836,4.260000228881836,,,,,900000,,
02:30:00.000-04:00,02:45:00.000-04:00,16.500524014874824,,,,,,,,,,,,,900000,,
02:45:00.000-04:00,03:00:00.000-04:00,16.500524014874824,,38.751277923583984,-89.95236206054688,38.751277923583984,-89.95236206054688,0.5299999713897705,0.5299999713897705,0.5299999713897705,,,,,900000,,
03:00:00.000-04:00,03:15:00.000-04:00,16.500524014874824,,,,,,0.5299999713897705,0.5299999713897705,0.5299999713897705,,,,,900000,,
03:15:00.000-04:00,03:30:00.000-04:00,16.500524014874824,,,,,,0.5299999713897705,0.5299999713897705,0.5299999713897705,,,,,900000,,
03:30:00.000-04:00,03:45:00.000-04:00,16.500524014874824,,38.751277923583984,-89.95246887207031,38.751277923583984,-89.95246887207031,,,,,,,,900000,,
03:45:00.000-04:00,04:00:00.000-04:00,16.500524014874824,,,,,,,,,,,,,900000,,
04:00:00.000-04:00,04:15:00.000-04:00,16.500524014874824,,,,,,,,,,,,,900000,,
04:15:00.000-04:00,04:30:00.000-04:00,16.500524014874824,,,,,,,,,,,,,900000,,
04:30:00.000-04:00,04:45:00.000-04:00,16.500524014874824,,,,,,,,,,,,,900000,,
04:45:00.000-04:00,05:00:00.000-04:00,16.500524014874824,,38.75121307373047,-89.95246124267578,38.75121307373047,-89.95246124267578,,,,,,,,900000,,
05:00:00.000-04:00,05:15:00.000-04:00,16.500524014874824,,,,,,,,,,,,,900000,,
05:15:00.000-04:00,05:30:00.000-04:00,16.500524014874824,,,,,,,,,,,,,900000,,
05:30:00.000-04:00,05:45:00.000-04:00,16.500524014874824,,38.751338958740234,-89.95237731933594,38.751338958740234,-89.95237731933594,,,,,,,,900000,,
05:45:00.000-04:00,06:00:00.000-04:00,16.500524014874824,,,,,,,,,,,,,900000,,
06:00:00.000-04:00,06:15:00.000-04:00,16.500524014874824,,38.75117874145508,-89.95252227783203,38.75117874145508,-89.95252227783203,,,,,,,,900000,,
06:15:00.000-04:00,06:30:00.000-04:00,16.500524014874824,,,,,,,,,,,,,900000,,
06:30:00.000-04:00,06:45:00.000-04:00,16.500524014874824,,38.7512321472168,-89.9525375366211,38.7512321472168,-89.9525375366211,,,,,,,,900000,,
06:45:00.000-04:00,07:00:00.000-04:00,16.500524014874824,,,,,,,,,,,,,900000,,
07:00:00.000-04:00,07:15:00.000-04:00,19.53800097730392,10.460081100463867,38.75099563598633,-89.95247650146484,38.75099563598633,-89.95247650146484,0.46093830466270447,0.46093830466270447,0.46093830466270447,157,,,,847004,52996,
07:15:00.000-04:00,07:30:00.000-04:00,23.85045433302247,,38.75109100341797,-89.95248413085938,38.75127029418945,-89.95232391357422,0.6907681041241377,0.7099999785423279,0.6499999761581421,59,,,,771763,128237,
07:30:00.000-04:00,07:45:00.000-04:00,16.5005234407619,,,,,,,,,25,,,,900000,,
07:45:00.000-04:00,08:00:00.000-04:00,16.5005234407619,,,,,,,,,27,,,,900000,,
08:00:00.000-04:00,08:15:00.000-04:00,16.5005234407619,,,,,,,,,,,,,900000,,
08:15:00.000-04:00,08:30:00.000-04:00,16.5005234407619,,38.75127410888672,-89.95247650146484,38.75127410888672,-89.95247650146484,,,,,,,,900000,,
08:30:00.000-04:00,08:45:00.000-04:00,19.954624540243326,3.92253041267395,,,,,,,,49,,,,839735,60265,
08:45:00.000-04:00,09:00:00.000-04:00,16.500523933691724,,,,,,,,,22,,,,900000,,
09:00:00.000-04:00,09:15:00.000-04:00,16.500523933691724,,,,,,,,,,,,,900000,,
09:15:00.000-04:00,09:30:00.000-04:00,16.500523933691724,,38.75101089477539,-89.952392578125,38.751251220703125,-89.95219421386719,1.1233481989160157,2.0399999618530273,1.0499999523162842,157,,,,900000,,
