Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms),Weight lifting duration (ms)
09:30:00.000-04:00,09:45:00.000-04:00,20.317295487780953,22.953561136815786,38.7512089,-89.9523146,38.7512089,-89.9523146,,,,35,,,,,70642,
09:45:00.000-04:00,10:00:00.000-04:00,25.71561155623049,125.9789120851843,38.7739539,-90.3913914,38.7814297,-90.3822801,0.7135588526725769,1.0963038206100464,0.3308138847351074,220,,,,19712,166978,
10:00:00.000-04:00,10:15:00.000-04:00,31.943544491684708,212.20926836144048,38.7758336,-90.3906161,38.7758803,-90.3905867,,,,365,,,,621881,278119,
10:15:00.000-04:00,10:30:00.000-04:00,16.358776966233332,,38.775644,-90.3905745,38.775644,-90.3905745,,,,23,,,,900000,,
10:30:00.000-04:00,10:45:00.000-04:00,29.100485305179767,59.40690231323242,38.7758841,-90.3905858,38.7758841,-90.3905858,,,,108,,,,672617,227383,
10:45:00.000-04:00,11:00:00.000-04:00,16.358775870479846,,,,,,,,,22,,,,900000,,
11:00:00.000-04:00,11:15:00.000-04:00,16.358775870479846,,,,,,,,,,,,,900000,,
11:15:00.000-04:00,11:30:00.000-04:00,16.358775870479846,,,,,,,,,,,,,900000,,
11:30:00.000-04:00,11:45:00.000-04:00,16.358775870479846,,,,,,,,,,,,,900000,,
11:45:00.000-04:00,12:00:00.000-04:00,16.358775870479846,,,,,,,,,,,,,900000,,
12:00:00.000-04:00,12:15:00.000-04:00,16.358775870479846,,,,,,,,,,,,,900000,,
12:15:00.000-04:00,12:30:00.000-04:00,16.358775870479846,,,,,,,,,,,,,900000,,
12:30:00.000-04:00,12:45:00.000-04:00,16.358775870479846,,,,,,,,,,,,,900000,,
12:45:00.000-04:00,13:00:00.000-04:00,16.358775870479846,,,,,,,,,,,,,900000,,
13:00:00.000-04:00,13:15:00.000-04:00,16.358775870479846,,,,,,,,,,,,,900000,,
13:15:00.000-04:00,13:30:00.000-04:00,16.358775870479846,,,,,,,,,,,,,900000,,
13:30:00.000-04:00,13:45:00.000-04:00,16.358775870479846,,,,,,,,,,,,,900000,,
13:45:00.000-04:00,14:00:00.000-04:00,16.358775870479846,,,,,,,,,,,,,900000,,
14:00:00.000-04:00,14:15:00.000-04:00,16.358775870479846,,,,,,,,,49,,,,900000,,
14:15:00.000-04:00,14:30:00.000-04:00,19.65606419028925,37.9177942276001,38.7756623,-90.3905851,38.7757534,-90.3904878,0.6729534446496458,0.7616220116615295,0.33629274368286133,85,,,,841159,58841,
14:30:00.000-04:00,14:45:00.000-04:00,18.042275129672998,3.92253041267395,38.7758833,-90.3905854,38.7758833,-90.3905854,,,,72,,,,869957,30043,
14:45:00.000-04:00,15:00:00.000-04:00,16.358775391544828,,,,,,,,,,,,,900000,,
15:00:00.000-04:00,15:15:00.000-04:00,16.358775391544828,,,,,,,,,,,,,900000,,
15:15:00.000-04:00,15:30:00.000-04:00,16.358775391544828,,,,,,,,,,,,,900000,,
15:30:00.000-04:00,15:45:00.000-04:00,16.358775391544828,,,,,,,,,,,,,900000,,
15:45:00.000-04:00,16:00:00.000-04:00,16.358775391544828,,,,,,,,,,,,,900000,,
16:00:00.000-04:00,16:15:00.000-04:00,16.358775391544828,,,,,,,,,,,,,900000,,
16:15:00.000-04:00,16:30:00.000-04:00,16.358775391544828,,,,,,,,,,,,,900000,,
16:30:00.000-04:00,16:45:00.000-04:00,22.809288367456027,51.190568923950195,38.7756341,-90.3905761,38.7757318,-90.3905612,0.8021924538425312,0.9995169043540955,0.3358963429927826,85,,,,784886,115114,
16:45:00.000-04:00,17:00:00.000-04:00,16.358777065769523,,38.7756904,-90.3905857,38.7758837,-90.3904533,,,,110,,,,900000,,
17:00:00.000-04:00,17:15:00.000-04:00,16.358777065769523,,,,,,,,,,,,,900000,,
17:15:00.000-04:00,17:30:00.000-04:00,18.541392111129305,27.99392634189225,,,,,0.31541162729263306,0.31541162729263306,0.31541162729263306,118,,,,861050,38950,
17:30:00.000-04:00,17:45:00.000-04:00,30.40613170963009,224.3584057732811,38.7696272,-90.3912766,38.7748804,-90.3742181,1.0807581086661384,1.0993719100952148,1.0014421939849854,329,,,,,250683,
17:45:00.000-04:00,18:00:00.000-04:00,40.52743981871425,201.5073766708374,38.7687043,-90.373078,38.7688868,-90.3729411,1.0742693032065807,1.2881591320037842,0.3807794451713562,350,,,,538939,220095,119547
18:00:00.000-04:00,18:15:00.000-04:00,105.46022440981305,,38.7689601,-90.372981,38.7689866,-90.3729215,,,,111,,,,,,900000
18:15:00.000-04:00,18:30:00.000-04:00,87.65013194589456,,38.768893,-90.3729448,38.7690644,-90.3728662,,,,104,,,,179897,,720103
18:30:00.000-04:00,18:45:00.000-04:00,31.175511091221097,211.21994400024414,38.7688991,-90.3730059,38.7689238,-90.3729352,1.214908242225647,1.2210946083068848,1.2087218761444092,309,,,,589683,264413,
18:45:00.000-04:00,19:00:00.000-04:00,16.35877576291269,,38.7692639,-90.3731291,38.7741117,-90.3209214,18.399999618530273,18.399999618530273,18.399999618530273,,,,,,,
19:00:00.000-04:00,19:15:00.000-04:00,16.35877576291269,,,,,,,,,,,,,,,
19:15:00.000-04:00,19:30:00.000-04:00,21.869333333755897,39.22530269622803,38.7513262,-89.9524198,38.7513262,-89.9524198,0.5597892454408101,0.8073979616165161,0.2893451452255249,101,,,,612140,98339,
19:30:00.000-04:00,19:45:00.000-04:00,16.35877692520362,,,,,,,,,81,,,,900000,,
19:45:00.000-04:00,20:00:00.000-04:00,16.35877692520362,,,,,,,,,13,,,,900000,,
20:00:00.000-04:00,20:15:00.000-04:00,16.35877692520362,,38.7512847,-89.9523642,38.7512847,-89.9523642,0.5,0.5,0.5,,,,,900000,,
20:15:00.000-04:00,20:30:00.000-04:00,16.35877692520362,,,,,,0.5,0.5,0.5,,,,,900000,,
20:30:00.000-04:00,20:45:00.000-04:00,16.35877692520362,,38.7513566,-89.9522958,38.7513566,-89.9522958,0.5,0.5,0.5,30,,,,900000,,
20:45:00.000-04:00,21:00:00.000-04:00,23.679026712646618,60.10951519012451,38.751304,-89.9524233,38.7513784,-89.9523494,0.8696154787850711,1.7599999904632568,0.5395563244819641,218,,,,769366,130634,
21:00:00.000-04:00,21:15:00.000-04:00,16.358777610309392,,,,,,,,,,,,,900000,,
21:15:00.000-04:00,21:30:00.000-04:00,16.358777610309392,,38.7512567,-89.9522561,38.7512567,-89.9522561,,,,,,,,900000,,
21:30:00.000-04:00,21:45:00.000-04:00,16.358777610309392,,,,,,,,,,,,,900000,,
21:45:00.000-04:00,22:00:00.000-04:00,16.358777610309392,,,,,,,,,,,,,900000,,
22:00:00.000-04:00,22:15:00.000-04:00,16.358777610309392,,,,,,,,,,,,,900000,,
22:15:00.000-04:00,22:30:00.000-04:00,16.358777610309392,,38.7512622,-89.9523037,38.7513186,-89.9523026,,,,,,,,900000,,
22:30:00.000-04:00,22:45:00.000-04:00,16.358777610309392,,,,,,,,,,,,,900000,,
22:45:00.000-04:00,23:00:00.000-04:00,16.358777610309392,,,,,,,,,31,,,,900000,,
23:00:00.000-04:00,23:15:00.000-04:00,18.023561195361353,16.085594271981424,,,,,0.5414384007453918,0.5414384007453918,0.5414384007453918,224,,,,870291,29709,
23:15:00.000-04:00,23:30:00.000-04:00,18.065251602691085,12.679629231131369,38.751338,-89.9524462,38.7513451,-89.9523993,0.295498251914978,0.295498251914978,0.295498251914978,38,,,,869547,30453,
23:30:00.000-04:00,23:45:00.000-04:00,16.358776959665416,,,,,,,,,,,,,900000,,
23:45:00.000-04:00,00:00:00.000-04:00,16.358776959665416,,38.7512478,-89.9525798,38.7512478,-89.9525798,2.440000057220459,2.440000057220459,2.440000057220459,,,,,900000,,
