Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Weight lifting duration (ms)
14:45:00.000-04:00,15:00:00.000-04:00,16.639315688240778,,,,,,,,,,,,,
15:00:00.000-04:00,15:15:00.000-04:00,16.639315688240778,,,,,,,,,,,,,
15:15:00.000-04:00,15:30:00.000-04:00,16.639315688240778,,,,,,,,,,,,,
15:30:00.000-04:00,15:45:00.000-04:00,16.639315688240778,,,,,,,,,,,,,
15:45:00.000-04:00,16:00:00.000-04:00,16.639315688240778,,,,,,,,,,,,,
16:00:00.000-04:00,16:15:00.000-04:00,16.639315688240778,,,,,,,,,,,,,
16:15:00.000-04:00,16:30:00.000-04:00,16.639315688240778,,,,,,,,,,,,,
16:30:00.000-04:00,16:45:00.000-04:00,16.639315688240778,,,,,,,,,,,,,
16:45:00.000-04:00,17:00:00.000-04:00,16.639315688240778,,,,,,,,,,,,,
17:00:00.000-04:00,17:15:00.000-04:00,16.639315688240778,,,,,,,,,,,,,
17:15:00.000-04:00,17:30:00.000-04:00,35.37115308082846,,,,,,,,,,,,,186941
17:30:00.000-04:00,17:45:00.000-04:00,106.82099682468979,,,,,,,,,,,,,900000
17:45:00.000-04:00,18:00:00.000-04:00,106.82099682468979,,,,,,,,,,,,,900000
18:00:00.000-04:00,18:15:00.000-04:00,44.272085612831496,,,,,,,,,,,,,275771
18:15:00.000-04:00,18:30:00.000-04:00,16.63931655883789,,,,,,,,,,,,,
18:30:00.000-04:00,18:45:00.000-04:00,16.63931655883789,,,,,,,,,,,,,
18:45:00.000-04:00,19:00:00.000-04:00,16.63931655883789,,,,,,,,,,,,,
19:00:00.000-04:00,19:15:00.000-04:00,16.63931655883789,,,,,,,,,,,,,
19:15:00.000-04:00,19:30:00.000-04:00,16.63931655883789,,,,,,,,,,,,,
19:30:00.000-04:00,19:45:00.000-04:00,16.63931655883789,,,,,,,,,,,,,
19:45:00.000-04:00,20:00:00.000-04:00,16.63931655883789,,,,,,,,,,,,,
20:00:00.000-04:00,20:15:00.000-04:00,16.63931655883789,,,,,,,,,,,,,
20:15:00.000-04:00,20:30:00.000-04:00,16.63931655883789,,,,,,,,,,,,,
20:30:00.000-04:00,20:45:00.000-04:00,16.63931655883789,,,,,,,,,,,,,
20:45:00.000-04:00,21:00:00.000-04:00,16.63931655883789,,,,,,,,,,,,,
21:00:00.000-04:00,21:15:00.000-04:00,16.63931655883789,,,,,,,,,,,,,
21:15:00.000-04:00,21:30:00.000-04:00,16.63931655883789,,,,,,,,,,,,,
21:30:00.000-04:00,21:45:00.000-04:00,16.63931655883789,,,,,,,,,,,,,
21:45:00.000-04:00,22:00:00.000-04:00,16.63931655883789,,,,,,,,,,,,,
22:00:00.000-04:00,22:15:00.000-04:00,16.63931655883789,,,,,,,,,,,,,
22:15:00.000-04:00,22:30:00.000-04:00,16.63931655883789,,,,,,,,,,,,,
22:30:00.000-04:00,22:45:00.000-04:00,16.63931655883789,,,,,,,,,,,,,
22:45:00.000-04:00,23:00:00.000-04:00,16.63931655883789,,,,,,,,,,,,,
23:00:00.000-04:00,23:15:00.000-04:00,16.63931655883789,,,,,,,,,,,,,
23:15:00.000-04:00,23:30:00.000-04:00,16.63931655883789,,,,,,,,,,,,,
23:30:00.000-04:00,23:45:00.000-04:00,16.63931655883789,,,,,,,,,,,,,
23:45:00.000-04:00,00:00:00.000-04:00,16.63931655883789,,,,,,,,,,,,,
